"","Code.INSEE","Code.Postal","Commune","Code.Département","Code.Région"
"22236","30288","30200","SAINT-NAZAIRE","30",91
"22237","54009","54800","ALLAMONT","54",41
"22238","88466","88800","THEY-SOUS-MONTFORT","88",41
"22239","50423","50000","RAMPAN","50",25
"22240","56213","56920","SAINT-GERAND","56",53
"22241","18081","18340","CROSSES","18",24
"22242","38547","38190","VILLARD-BONNOT","38",82
"22243","51084","51320","BREBAN","51",21
"22244","38081","38790","CHARANTONNAY","38",82
"22245","37094","37240","CUSSAY","37",24
"22246","55041","55000","BEHONNE","55",41
"22247","65348","65100","OURDIS-COTDOUSSAN","65",73
"22248","04140","04200","LES OMERGUES","04",93
"22249","81068","81640","COMBEFA","81",73
"22250","27129","27300","CAORCHES-SAINT-NICOLAS","27",23
"22251","34217","34730","PRADES-LE-LEZ","34",91
"22252","41059","41700","CONTRES","41",24
"22253","45248","45310","PATAY","45",24
"22254","09068","09000","BURRET","09",73
"22255","81228","81800","ROQUEMAURE","81",73
"22256","88111","88100","COINCHES","88",41
"22257","14648","14100","SAINT-PIERRE-DES-IFS","14",25
"22258","93005","93600","AULNAY-SOUS-BOIS","93",11
"22259","12144","12120","MELJAC","12",73
"22260","88423","88650","SAINT-LEONARD","88",41
"22261","55425","55600","REMOIVILLE","55",41
"22262","54393","54118","MOYEN","54",41
"22263","79081","79180","CHAURAY","79",54
"22264","77151","77320","DAGNY","77",11
"22265","90010","90000","BELFORT","90",43
"22266","2A326","20117","TOLLA","2A",94
"22267","54355","54380","MARTINCOURT","54",41
"22268","12009","12360","ARNAC-SUR-DOURDOU","12",73
"22269","64555","64190","VIELLENAVE-DE-NAVARRENX","64",72
"22270","38321","38710","PREBOIS","38",82
"22271","85269","85420","SAINT-SIGISMOND","85",52
"22272","62589","62144","MONT-SAINT-ELOI","62",31
"22273","45135","45480","ERCEVILLE","45",24
"22274","57353","57630","JUVELIZE","57",41
"22275","30055","30580","BROUZET-LES-ALES","30",91
"22276","06035","06500","CASTELLAR","06",93
"22277","60330","60570","LABOISSIERE-EN-THELLE","60",22
"22278","61390","61600","SAINT-GEORGES-D'ANNEBECQ","61",25
"22279","61463","61600","LA SAUVAGERE","61",25
"22280","44148","44660","RUFFIGNE","44",52
"22281","79059","79240","LE BUSSEAU","79",54
"22282","80105","80190","BILLANCOURT","80",22
"22283","26305","26160","SAINT-GERVAIS-SUR-ROUBION","26",82
"22284","03044","03700","BRUGHEAS","03",83
"22285","19284","19170","VIAM","19",74
"22286","04111","04300","MANE","04",93
"22287","17039","17800","BELLUIRE","17",54
"22288","2A269","20145","SARI-SOLENZARA","2A",94
"22289","55197","55260","FRESNES-AU-MONT","55",41
"22290","62352","62130","FRAMECOURT","62",31
"22291","55442","55260","RAIVAL","55",41
"22292","60332","60140","LABRUYERE","60",22
"22293","21431","21140","MONTIGNY-SUR-ARMANCON","21",26
"22294","02215","02820","CORBENY","02",22
"22295","95592","95450","SERAINCOURT","95",11
"22296","49061","49440","CHALLAIN-LA-POTHERIE","49",52
"22297","52056","52120","BLESSONVILLE","52",21
"22298","87047","87140","COMPREIGNAC","87",74
"22299","65219","65700","HERES","65",73
"22300","86149","86330","MARTAIZE","86",54
"22301","65193","65370","GEMBRIE","65",73
"22302","42099","42490","FRAISSES","42",82
"22303","70084","70190","BOULOT","70",43
"22304","32237","32270","MARSAN","32",73
"22305","90081","90370","RECHESY","90",43
"22306","54478","54800","SAINT-MARCEL","54",41
"22307","63191","63760","LASTIC","63",83
"22308","46304","46240","SENIERGUES","46",73
"22309","57110","57320","BRETTNACH","57",41
"22310","39564","39320","VILLECHANTRIA","39",43
"22311","87008","87210","LA BAZEUGE","87",74
"22312","38520","38730","VALENCOGNE","38",82
"22313","14025","14700","AUBIGNY","14",25
"22314","77322","77230","MOUSSY-LE-NEUF","77",11
"22315","32235","32290","MARGOUET-MEYMES","32",73
"22316","10218","10210","MAISONS-LES-CHAOURCE","10",21
"22317","60197","60530","DIEUDONNE","60",22
"22318","63437","63810","TREMOUILLE-SAINT-LOUP","63",83
"22319","83073","83340","LE LUC","83",93
"22320","91657","91270","VIGNEUX-SUR-SEINE","91",11
"22321","67207","67170","HOHATZENHEIM","67",42
"22322","26271","26600","LA ROCHE-DE-GLUN","26",82
"22323","37249","37360","SONZAY","37",24
"22324","69233","69270","SAINT-ROMAIN-AU-MONT-D'OR","69",82
"22325","25385","25680","MONTAGNEY-SERVIGNEY","25",43
"22326","63470","63530","VOLVIC","63",83
"22327","62630","62810","NOYELLE-VION","62",31
"22328","09175","09100","LUDIES","09",73
"22329","49070","49340","CHANTELOUP-LES-BOIS","49",52
"22330","35092","35270","CUGUEN","35",53
"22331","52543","52130","VOILLECOMTE","52",21
"22332","52331","52220","MONTIER-EN-DER","52",21
"22333","76329","76210","GRUCHET-LE-VALASSE","76",23
"22334","23181","23400","SAINT-AMAND-JARTOUDEIX","23",74
"22335","34268","34700","SAINT-JEAN-DE-LA-BLAQUIERE","34",91
"22336","87160","87190","SAINT-LEGER-MAGNAZEIX","87",74
"22337","64245","64400","GOES","64",72
"22338","02529","02270","MORTIERS","02",22
"22339","46189","46500","MAYRINHAC-LENTOUR","46",73
"22340","46083","46600","CRESSENSAC","46",73
"22341","51326","51400","LIVRY-LOUVERCY","51",21
"22342","40135","40420","LABRIT","40",72
"22343","37190","37800","PUSSIGNY","37",24
"22344","65482","65150","CANTAOUS","65",73
"22345","54405","54170","OCHEY","54",41
"22346","57516","57320","OBERDORFF","57",41
"22347","51352","51300","MAROLLES","51",21
"22348","23064","23270","CLUGNAT","23",74
"22349","61221","61100","LANDIGOU","61",25
"22350","36220","36800","THENAY","36",24
"22351","21127","21120","CHAIGNAY","21",26
"22352","55300","55500","LONGEAUX","55",41
"22353","52260","52310","LAMANCINE","52",21
"22354","10390","10200","URVILLE","10",21
"22355","60012","60570","ANDEVILLE","60",22
"22356","09213","09500","MOULIN-NEUF","09",73
"22357","85005","85120","ANTIGNY","85",52
"22358","51289","51340","HEILTZ-LE-MAURUPT","51",21
"22359","64334","64270","LEREN","64",72
"22360","81164","81800","MEZENS","81",73
"22361","26382","26300","SAINT-VINCENT-LA-COMMANDERIE","26",82
"22362","02549","02100","NEUVILLE-SAINT-AMAND","02",22
"22363","14154","14290","LA CHAPELLE-YVON","14",25
"22364","45134","45130","EPIEDS-EN-BEAUCE","45",24
"22365","73270","73250","SAINT-PIERRE-D'ALBIGNY","73",82
"22366","17118","17130","CORIGNAC","17",54
"22367","55251","55220","IPPECOURT","55",41
"22368","57288","57880","HAM-SOUS-VARSBERG","57",41
"22369","29056","29800","LA FOREST-LANDERNEAU","29",53
"22370","70282","70700","GY","70",43
"22371","50619","50630","LE VAST","50",25
"22372","76584","76270","SAINT-GERMAIN-SUR-EAULNE","76",23
"22373","02043","02290","BAGNEUX","02",22
"22374","36203","36700","SAINT-MEDARD","36",24
"22375","76682","76410","SOTTEVILLE-SOUS-LE-VAL","76",23
"22376","73128","73100","GRESY-SUR-AIX","73",82
"22377","79271","79310","SAINT-MARC-LA-LANDE","79",54
"22378","17047","17800","BIRON","17",54
"22379","34182","34120","NEZIGNAN-L'EVEQUE","34",91
"22380","08244","08130","LAMETZ","08",21
"22381","42211","42160","SAINT-CYPRIEN","42",82
"22382","25468","25640","POULIGNEY-LUSANS","25",43
"22383","49171","49150","LA LANDE-CHASLES","49",52
"22384","03290","03460","TREVOL","03",83
"22385","09081","09100","LE CARLARET","09",73
"22386","80262","80580","EAUCOURT-SUR-SOMME","80",22
"22387","59177","59440","DOMPIERRE-SUR-HELPE","59",31
"22388","38522","38740","VALJOUFFREY","38",82
"22389","62899","62179","WISSANT","62",31
"22390","88095","88170","CHATENOIS","88",41
"22391","88313","88330","MORIVILLE","88",41
"22392","57718","57530","VILLERS-STONCOURT","57",41
"22393","47109","47150","GAVAUDUN","47",72
"22394","60635","60160","THIVERNY","60",22
"22395","50333","50360","LES MOITIERS-EN-BAUPTOIS","50",25
"22396","44038","44320","CHAUVE","44",52
"22397","76222","76480","DUCLAIR","76",23
"22398","33065","33270","BOULIAC","33",72
"22399","63375","63570","SAINT-MARTIN-DES-PLAINS","63",83
"22400","43057","43270","LA CHAPELLE-BERTIN","43",83
"22401","21081","21540","BLAISY-HAUT","21",26
"22402","54399","54290","NEUVILLER-SUR-MOSELLE","54",41
"22403","68325","68640","STEINSOULTZ","68",42
"22404","84064","84840","LAPALUD","84",93
"22405","68098","68580","FRIESEN","68",42
"22406","54146","54113","CREZILLES","54",41
"22407","59543","59330","SAINT-REMY-DU-NORD","59",31
"22408","70002","70500","ABONCOURT-GESINCOURT","70",43
"22409","07030","07190","BEAUVENE","07",82
"22410","27287","27190","GLISOLLES","27",23
"22411","37008","37270","ATHEE-SUR-CHER","37",24
"22412","55522","55140","UGNY-SUR-MEUSE","55",41
"22413","62767","62130","SAINT-POL-SUR-TERNOISE","62",31
"22414","16381","16240","THEIL-RABIER","16",54
"22415","04204","04330","SENEZ","04",93
"22416","34139","34290","LIEURAN-LES-BEZIERS","34",91
"22417","39542","39240","VALFIN-SUR-VALOUSE","39",43
"22418","53152","53170","MESLAY-DU-MAINE","53",52
"22419","91272","91190","GIF-SUR-YVETTE","91",11
"22420","22203","22150","PLOEUC-SUR-LIE","22",53
"22421","2A144","20139","LOPIGNA","2A",94
"22422","50626","50450","VER","50",25
"22423","02406","02380","LANDRICOURT","02",22
"22424","02296","02590","ETREILLERS","02",22
"22425","27242","27190","LE FIDELAIRE","27",23
"22426","2A330","20133","UCCIANI","2A",94
"22427","03110","03110","ESPINASSE-VOZELLE","03",83
"22428","41125","41210","MARCILLY-EN-GAULT","41",24
"22429","70521","70700","VANTOUX-ET-LONGEVELLE","70",43
"22430","19010","19400","ARGENTAT","19",74
"22431","46250","46250","SAINT-CAPRAIS","46",73
"22432","81009","81170","AMARENS","81",73
"22433","77104","77610","CHATRES","77",11
"22434","21607","21250","SEURRE","21",26
"22435","65073","65140","BAZILLAC","65",73
"22436","2B159","20287","MERIA","2B",94
"22437","31008","31230","ANAN","31",73
"22438","35163","35133","LUITRE","35",53
"22439","83008","83600","BAGNOLS-EN-FORET","83",93
"22440","76135","76360","BOUVILLE","76",23
"22441","82186","82400","VALENCE","82",73
"22442","12024","12390","BELCASTEL","12",73
"22443","22029","22480","CANIHUEL","22",53
"22444","31149","31770","COLOMIERS","31",73
"22445","60088","60540","BORNEL","60",22
"22446","44066","44119","GRANDCHAMPS-DES-FONTAINES","44",52
"22447","92025","92700","COLOMBES","92",11
"22448","80165","80540","CAMPS-EN-AMIENOIS","80",22
"22449","36068","36210","DUN-LE-POELIER","36",24
"22450","12008","12390","ANGLARS-SAINT-FELIX","12",73
"22451","26227","26510","PELONNE","26",82
"22452","95177","95830","CORMEILLES-EN-VEXIN","95",11
"22453","86161","86330","MONCONTOUR","86",54
"22454","51004","51260","ALLEMANCHE-LAUNAY-ET-SOYER","51",21
"22455","32427","32230","SEMBOUES","32",73
"22456","51411","51190","OGER","51",21
"22457","01124","01560","CORMOZ","01",82
"22458","87076","87370","JABREILLES-LES-BORDES","87",74
"22459","02439","02160","LONGUEVAL-BARBONVAL","02",22
"22460","62828","62310","TRAMECOURT","62",31
"22461","21287","21500","FRESNES","21",26
"22462","23083","23110","FONTANIERES","23",74
"22463","58229","58140","SAINT-ANDRE-EN-MORVAN","58",26
"22464","76120","76750","BOSC-BORDEL","76",23
"22465","87153","87460","SAINT-JULIEN-LE-PETIT","87",74
"22466","03267","03500","SAULCET","03",83
"22467","15257","15130","VEZELS-ROUSSY","15",83
"22468","51308","51140","JONCHERY-SUR-VESLE","51",21
"22469","35023","35137","BEDEE","35",53
"22470","60215","60600","ERQUERY","60",22
"22471","15070","15140","FONTANGES","15",83
"22472","88010","88170","AOUZE","88",41
"22473","30079","30450","CHAMBON","30",91
"22474","79307","79190","SAUZE-VAUSSAIS","79",54
"22475","87108","87330","NOUIC","87",74
"22476","42011","42510","BALBIGNY","42",82
"22477","83133","83440","TANNERON","83",93
"22478","01252","01140","MOGNENEINS","01",82
"22479","07207","07120","SAINT-ALBAN-AURIOLLES","07",82
"22480","77532","77160","VULAINES-LES-PROVINS","77",11
"22481","35012","35470","BAIN-DE-BRETAGNE","35",53
"22482","81326","81150","SAINTE-CROIX","81",73
"22483","76312","76220","GOURNAY-EN-BRAY","76",23
"22484","34055","34610","CASTANET-LE-HAUT","34",91
"22485","62441","62150","HERMIN","62",31
"22486","56201","56110","LE SAINT","56",53
"22487","57370","57970","KOENIGSMACKER","57",41
"22488","2B313","20230","SAN-NICOLAO","2B",94
"22489","08317","08450","LA NEUVILLE-A-MAIRE","08",21
"22490","63201","63350","LUZILLAT","63",83
"22491","46151","46240","LAMOTHE-CASSEL","46",73
"22492","50027","50530","BACILLY","50",25
"22493","32093","32400","CAUMONT","32",73
"22494","84086","84580","OPPEDE","84",93
"22495","49024","49410","BEAUSSE","49",52
"22496","12121","12350","LANUEJOULS","12",73
"22497","23026","23230","BORD-SAINT-GEORGES","23",74
"22498","15053","15170","COLTINES","15",83
"22499","68089","68470","FELLERING","68",42
"22500","95641","95470","VEMARS","95",11
"22501","57061","57800","BENING-LES-SAINT-AVOLD","57",41
"22502","17146","17620","ECHILLAIS","17",54
"22503","67005","67270","ALTECKENDORF","67",42
"22504","54209","54830","FRANCONVILLE","54",41
"22505","16076","16350","CHAMPAGNE-MOUTON","16",54
"22506","33396","33330","SAINT-ETIENNE-DE-LISSE","33",72
"22507","26012","26470","ARNAYON","26",82
"22508","43176","43580","SAINT-DIDIER-D'ALLIER","43",83
"22509","10329","10800","ROUILLY-SAINT-LOUP","10",21
"22510","09146","09700","JUSTINIAC","09",73
"22511","77113","77320","CHEVRU","77",11
"22512","12093","12140","LE FEL","12",73
"22513","35156","35190","LONGAULNAY","35",53
"22514","27651","27100","TOURNEDOS-SUR-SEINE","27",23
"22515","62755","62360","SAINT-LEONARD","62",31
"22516","81182","81360","MONTREDON-LABESSONNIE","81",73
"22517","34057","34170","CASTELNAU-LE-LEZ","34",91
"22518","58289","58250","TERNANT","58",26
"22519","85100","85800","GIVRAND","85",52
"22520","39172","39700","COURTEFONTAINE","39",43
"22521","14222","14350","LE DESERT","14",25
"22522","07285","07520","SAINT-PIERRE-SUR-DOUX","07",82
"22523","41221","41370","SAINT-LEONARD-EN-BEAUCE","41",24
"22524","60461","60510","NIVILLERS","60",22
"22525","31416","31390","PEYSSIES","31",73
"22526","10417","10160","VILLEMOIRON-EN-OTHE","10",21
"22527","32428","32450","SEMEZIES-CACHAN","32",73
"22528","46078","46500","COUZOU","46",73
"22529","64493","64120","SAINT-PALAIS","64",72
"22530","86004","86260","ANGLES-SUR-L'ANGLIN","86",54
"22531","41262","41250","TOUR-EN-SOLOGNE","41",24
"22532","24382","24150","SAINT-CAPRAISE-DE-LALINDE","24",72
"22533","38498","38300","SUCCIEU","38",82
"22534","27482","27370","LA PYLE","27",23
"22535","06082","06710","MASSOINS","06",93
"22536","89483","89260","VOISINES","89",26
"22537","71169","71960","DAVAYE","71",26
"22538","33399","33540","SAINT-FELIX-DE-FONCAUDE","33",72
"22539","01057","01190","BOZ","01",82
"22540","35275","35590","SAINT-GILLES","35",53
"22541","86012","86250","ASNOIS","86",54
"22542","53202","53220","SAINT-BERTHEVIN-LA-TANNIERE","53",52
"22543","16236","16440","MOUTHIERS-SUR-BOEME","16",54
"22544","61275","61240","LE MERLERAULT","61",25
"22545","10010","10330","ARREMBECOURT","10",21
"22546","17430","17150","SOUBRAN","17",54
"22547","33452","33720","SAINT-MICHEL-DE-RIEUFRET","33",72
