unit,sex,age,icd10,resid,time\geo	EU28 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	NO 	CH 	RS 	TR 
NR,M,Y65-69,N00-N29,TOT_RESID,2011	1792 	44 	73 	38 	15 	426 	0 	12 	47 	140 	113 	16 	197 	6 	10 	9 	2 	32 	3 	39 	24 	207 	37 	136 	5 	28 	2 	19 	112 	11 	15 	103 	511 
NR,M,Y65-69,N_OTH,TOT_IN,2011	364 	6 	5 	9 	6 	72 	0 	0 	0 	39 	32 	3 	26 	1 	2 	3 	0 	4 	0 	17 	4 	8 	19 	9 	0 	4 	4 	7 	84 	3 	7 	5 	28 
NR,M,Y65-69,N_OTH,TOT_RESID,2011	364 	6 	5 	9 	6 	72 	0 	0 	0 	39 	32 	3 	26 	1 	2 	3 	0 	4 	0 	17 	4 	8 	19 	9 	0 	4 	4 	7 	84 	3 	7 	5 	28 
NR,M,Y65-69,O,TOT_IN,2011	0 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y65-69,O,TOT_RESID,2011	0 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y65-69,P,TOT_IN,2011	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,M,Y65-69,P,TOT_RESID,2011	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,M,Y65-69,Q,TOT_IN,2011	208 	2 	0 	2 	7 	23 	1 	2 	0 	11 	30 	0 	39 	1 	3 	1 	0 	14 	0 	8 	4 	3 	1 	2 	0 	0 	8 	6 	40 	5 	11 	0 	3 
NR,M,Y65-69,Q,TOT_RESID,2011	208 	2 	0 	2 	7 	23 	1 	2 	0 	11 	30 	0 	39 	1 	3 	1 	0 	14 	0 	8 	4 	3 	1 	2 	0 	0 	8 	6 	40 	5 	11 	0 	3 
NR,M,Y65-69,R,TOT_IN,2011	5618 	111 	94 	63 	143 	1363 	13 	3 	238 	348 	1368 	10 	163 	2 	21 	18 	4 	4 	1 	75 	6 	975 	348 	67 	0 	6 	6 	97 	71 	117 	41 	171 	452 
NR,M,Y65-69,R,TOT_RESID,2011	5589 	112 	94 	63 	138 	1359 	13 	4 	236 	338 	1356 	9 	157 	1 	21 	18 	3 	4 	1 	78 	6 	972 	345 	68 	1 	7 	7 	98 	80 	118 	43 	171 	439 
NR,M,Y65-69,R95,TOT_IN,2011	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,M,Y65-69,R95,TOT_RESID,2011	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,M,Y65-69,R96-R99,TOT_IN,2011	4435 	51 	60 	55 	141 	1294 	13 	1 	0 	267 	866 	7 	93 	1 	19 	18 	1 	4 	0 	56 	4 	956 	288 	67 	0 	6 	5 	94 	68 	114 	39 	138 	312 
NR,M,Y65-69,R96-R99,TOT_RESID,2011	4414 	53 	60 	55 	136 	1287 	13 	2 	1 	258 	861 	6 	87 	1 	19 	18 	1 	4 	: 	59 	4 	953 	285 	68 	1 	7 	6 	94 	75 	115 	39 	138 	299 
NR,M,Y65-69,RHEUM_ARTHRO,TOT_IN,2011	98 	1 	1 	2 	0 	7 	0 	3 	1 	7 	5 	0 	19 	: 	0 	0 	: 	3 	: 	2 	3 	5 	2 	: 	1 	1 	1 	5 	29 	4 	5 	0 	7 
NR,M,Y65-69,RHEUM_ARTHRO,TOT_RESID,2011	98 	1 	1 	2 	0 	7 	0 	3 	1 	7 	5 	0 	19 	: 	0 	0 	: 	3 	: 	2 	3 	5 	2 	: 	1 	1 	1 	5 	29 	4 	5 	0 	7 
NR,M,Y65-69,R_OTH,TOT_IN,2011	1183 	60 	34 	8 	2 	69 	0 	2 	238 	81 	502 	3 	70 	1 	2 	0 	3 	0 	1 	19 	2 	19 	60 	: 	0 	0 	1 	3 	3 	3 	2 	33 	140 
NR,M,Y65-69,R_OTH,TOT_RESID,2011	1175 	59 	34 	8 	2 	72 	0 	2 	235 	80 	495 	3 	70 	0 	2 	0 	2 	0 	1 	19 	2 	19 	60 	0 	0 	0 	1 	4 	5 	3 	4 	33 	140 
NR,M,Y65-69,TOXICO,TOT_IN,2011	14 	0 	1 	0 	2 	7 	0 	: 	0 	0 	1 	0 	0 	: 	0 	0 	: 	0 	: 	0 	1 	0 	0 	1 	: 	: 	0 	0 	1 	0 	1 	0 	0 
NR,M,Y65-69,TOXICO,TOT_RESID,2011	14 	0 	1 	0 	2 	7 	0 	: 	0 	0 	1 	0 	0 	: 	0 	0 	: 	0 	: 	0 	1 	0 	0 	1 	: 	: 	0 	0 	1 	0 	1 	0 	0 
NR,M,Y65-69,V01-Y89,TOT_IN,2011	8319 	197 	145 	305 	78 	1243 	47 	56 	110 	475 	1142 	93 	704 	4 	118 	175 	4 	303 	1 	171 	184 	891 	178 	550 	66 	181 	192 	182 	524 	72 	133 	162 	370 
NR,M,Y65-69,V01-Y89,TOT_RESID,2011	8292 	195 	146 	305 	78 	1266 	47 	57 	102 	453 	1140 	85 	693 	3 	118 	175 	4 	304 	1 	173 	178 	888 	176 	551 	67 	182 	193 	183 	529 	74 	136 	163 	369 
NR,M,Y65-69,V01-Y89_OTH,TOT_IN,2011	264 	6 	4 	4 	1 	69 	1 	1 	0 	16 	44 	3 	17 	0 	2 	2 	0 	0 	0 	2 	16 	33 	9 	2 	11 	0 	0 	3 	18 	0 	0 	1 	1 
NR,M,Y65-69,V01-Y89_OTH,TOT_RESID,2011	263 	6 	4 	4 	1 	69 	1 	1 	0 	16 	43 	3 	17 	0 	2 	2 	0 	0 	0 	2 	16 	33 	8 	2 	11 	0 	0 	3 	19 	0 	0 	1 	1 
NR,M,Y65-69,V_Y85,TOT_IN,2011	1235 	31 	25 	27 	7 	141 	4 	7 	39 	107 	98 	17 	167 	1 	14 	13 	0 	48 	0 	40 	20 	163 	36 	111 	4 	17 	18 	20 	60 	10 	24 	31 	176 
NR,M,Y65-69,V_Y85,TOT_RESID,2011	1227 	31 	25 	27 	7 	147 	4 	8 	38 	100 	96 	15 	161 	1 	14 	13 	0 	49 	0 	40 	21 	162 	36 	112 	4 	17 	18 	21 	60 	10 	26 	32 	175 
NR,M,Y65-69,W00-W19,TOT_IN,2011	1546 	46 	19 	42 	22 	268 	5 	15 	14 	61 	169 	14 	123 	0 	15 	33 	2 	82 	0 	45 	44 	160 	23 	89 	12 	28 	52 	33 	130 	17 	36 	14 	59 
NR,M,Y65-69,W00-W19,TOT_RESID,2011	1542 	45 	19 	41 	22 	276 	5 	15 	13 	61 	169 	14 	122 	0 	15 	33 	2 	82 	0 	48 	36 	160 	22 	89 	12 	28 	52 	32 	129 	18 	36 	14 	59 
NR,M,Y65-69,W65-W74,TOT_IN,2011	299 	3 	4 	8 	4 	15 	3 	4 	17 	28 	53 	10 	16 	1 	11 	5 	0 	12 	1 	4 	5 	32 	2 	31 	1 	7 	8 	4 	10 	2 	4 	4 	6 
NR,M,Y65-69,W65-W74,TOT_RESID,2011	295 	4 	5 	9 	4 	19 	3 	4 	12 	17 	57 	5 	14 	0 	11 	5 	0 	13 	1 	4 	5 	32 	2 	31 	2 	8 	9 	5 	14 	2 	5 	4 	6 
NR,M,Y65-69,X40-X49,TOT_IN,2011	349 	3 	5 	21 	1 	11 	9 	2 	0 	14 	46 	2 	9 	0 	3 	16 	0 	1 	0 	2 	0 	58 	2 	51 	3 	5 	34 	17 	34 	10 	2 	2 	4 
NR,M,Y65-69,X40-X49,TOT_RESID,2011	349 	3 	5 	21 	1 	11 	9 	2 	0 	14 	46 	2 	9 	0 	3 	16 	0 	1 	0 	2 	0 	58 	2 	51 	3 	5 	34 	17 	34 	10 	2 	2 	4 
NR,M,Y65-69,X60-X84_Y870,TOT_IN,2011	2510 	67 	37 	91 	28 	530 	7 	12 	18 	139 	385 	37 	224 	1 	30 	36 	2 	107 	0 	42 	62 	210 	55 	125 	24 	25 	44 	54 	118 	18 	46 	66 	34 
NR,M,Y65-69,X60-X84_Y870,TOT_RESID,2011	2509 	65 	37 	91 	28 	531 	7 	12 	18 	139 	386 	36 	223 	1 	30 	36 	2 	107 	0 	43 	63 	209 	55 	125 	24 	25 	44 	54 	118 	18 	46 	66 	34 
NR,M,Y65-69,X85-Y09_Y871,TOT_IN,2011	101 	0 	3 	2 	1 	12 	1 	0 	7 	10 	5 	1 	11 	0 	4 	5 	0 	6 	: 	4 	1 	11 	2 	10 	0 	2 	2 	1 	0 	0 	2 	4 	12 
NR,M,Y65-69,X85-Y09_Y871,TOT_RESID,2011	102 	0 	3 	2 	1 	12 	1 	0 	7 	10 	6 	1 	11 	0 	4 	5 	0 	6 	: 	4 	1 	11 	2 	10 	0 	2 	2 	1 	0 	0 	1 	4 	12 
NR,M,Y65-69,Y10-Y34_Y872,TOT_IN,2011	382 	12 	8 	10 	2 	63 	4 	5 	0 	1 	18 	0 	0 	0 	5 	19 	0 	4 	0 	2 	3 	69 	27 	10 	1 	62 	3 	19 	35 	0 	1 	15 	: 
NR,M,Y65-69,Y10-Y34_Y872,TOT_RESID,2011	379 	12 	8 	10 	2 	64 	4 	5 	0 	1 	17 	0 	0 	0 	5 	19 	0 	4 	0 	0 	3 	68 	27 	10 	1 	62 	3 	19 	35 	0 	2 	15 	: 
NR,M,Y70-74,A-R_V-Y,TOT_IN,2011	287920 	5479 	7195 	6384 	3072 	61267 	1048 	1650 	6415 	19717 	25328 	3673 	33033 	327 	2068 	2609 	220 	7895 	208 	7597 	4400 	22754 	5859 	17912 	1236 	3146 	2865 	4283 	30280 	1929 	2996 	7576 	21992 
NR,M,Y70-74,A-R_V-Y,TOT_RESID,2011	287571 	5444 	7182 	6366 	3069 	61494 	1046 	1648 	6375 	19548 	25278 	3624 	32887 	319 	2065 	2609 	225 	7872 	205 	7610 	4358 	22729 	5835 	17929 	1232 	3149 	2869 	4298 	30306 	1940 	2951 	7582 	21916 
NR,M,Y70-74,A15-A19_B90,TOT_IN,2011	285 	2 	10 	3 	1 	19 	4 	2 	3 	11 	27 	6 	27 	0 	2 	12 	: 	7 	0 	3 	5 	33 	14 	65 	0 	1 	2 	2 	24 	0 	2 	13 	65 
NR,M,Y70-74,A15-A19_B90,TOT_RESID,2011	283 	2 	9 	3 	1 	20 	4 	2 	3 	11 	26 	6 	25 	0 	2 	12 	: 	7 	0 	3 	5 	33 	14 	66 	0 	1 	2 	2 	24 	0 	2 	13 	65 
NR,M,Y70-74,ACC,TOT_IN,2011	5810 	148 	72 	140 	36 	990 	27 	26 	153 	387 	745 	111 	648 	5 	53 	85 	4 	186 	5 	129 	149 	502 	98 	430 	43 	58 	116 	86 	378 	38 	69 	89 	340 
NR,M,Y70-74,ACC,TOT_RESID,2011	5787 	147 	71 	139 	35 	1019 	27 	26 	146 	372 	741 	109 	640 	5 	53 	85 	3 	182 	5 	125 	139 	501 	96 	430 	44 	59 	116 	89 	383 	40 	69 	90 	339 
NR,M,Y70-74,ACC_OTH,TOT_IN,2011	1883 	49 	24 	63 	8 	230 	15 	7 	24 	195 	359 	16 	228 	1 	19 	32 	2 	50 	0 	32 	46 	137 	22 	99 	9 	19 	24 	37 	136 	15 	10 	20 	75 
NR,M,Y70-74,ACC_OTH,TOT_RESID,2011	1882 	48 	24 	62 	8 	234 	15 	7 	24 	192 	359 	16 	229 	1 	19 	32 	1 	50 	0 	33 	45 	137 	21 	99 	9 	19 	24 	37 	137 	16 	10 	20 	75 
NR,M,Y70-74,A_B,TOT_IN,2011	3544 	107 	35 	73 	40 	1031 	6 	7 	5 	237 	447 	15 	594 	3 	7 	25 	7 	30 	0 	93 	44 	161 	99 	128 	3 	6 	18 	72 	251 	33 	35 	32 	329 
NR,M,Y70-74,A_B,TOT_RESID,2011	3537 	108 	34 	73 	42 	1032 	6 	6 	5 	233 	443 	15 	590 	3 	7 	25 	7 	30 	0 	93 	44 	161 	99 	130 	3 	6 	18 	72 	252 	33 	34 	32 	327 
NR,M,Y70-74,A_B_OTH,TOT_IN,2011	2793 	102 	23 	63 	39 	927 	1 	4 	2 	181 	387 	8 	354 	3 	5 	12 	7 	22 	0 	87 	16 	118 	72 	60 	3 	5 	14 	66 	212 	32 	22 	18 	193 
NR,M,Y70-74,A_B_OTH,TOT_RESID,2011	2789 	103 	23 	63 	41 	927 	1 	3 	2 	177 	384 	8 	353 	3 	5 	12 	7 	22 	0 	87 	16 	118 	72 	61 	3 	5 	14 	66 	213 	32 	21 	18 	192 
NR,M,Y70-74,B15-B19_B942,TOT_IN,2011	80 	0 	0 	1 	0 	17 	0 	0 	1 	9 	7 	0 	21 	0 	0 	0 	0 	0 	0 	2 	1 	0 	10 	2 	0 	0 	1 	1 	7 	1 	4 	0 	1 
NR,M,Y70-74,B15-B19_B942,TOT_RESID,2011	80 	0 	0 	1 	0 	17 	0 	0 	1 	9 	7 	0 	21 	0 	0 	0 	0 	0 	0 	2 	1 	0 	10 	2 	0 	0 	1 	1 	7 	1 	4 	0 	1 
NR,M,Y70-74,B20-B24,TOT_IN,2011	387 	3 	2 	6 	0 	68 	1 	1 	: 	36 	26 	1 	192 	: 	0 	1 	0 	1 	0 	1 	22 	10 	3 	1 	0 	0 	1 	3 	8 	0 	7 	1 	70 
NR,M,Y70-74,B20-B24,TOT_RESID,2011	386 	3 	2 	6 	0 	68 	1 	1 	: 	36 	26 	1 	191 	: 	0 	1 	0 	1 	0 	1 	22 	10 	3 	1 	0 	0 	1 	3 	8 	0 	7 	1 	69 
NR,M,Y70-74,C,TOT_IN,2011	110838 	2207 	1495 	2225 	1290 	22887 	349 	697 	2472 	8584 	11196 	1310 	15271 	91 	583 	783 	93 	2480 	88 	3572 	1676 	7803 	2147 	4587 	536 	1084 	943 	1678 	12711 	766 	1323 	1975 	6099 
NR,M,Y70-74,C,TOT_RESID,2011	110769 	2195 	1493 	2224 	1289 	22917 	348 	701 	2468 	8569 	11186 	1306 	15249 	91 	582 	783 	95 	2476 	88 	3564 	1668 	7794 	2145 	4591 	534 	1085 	943 	1679 	12706 	766 	1307 	1976 	6083 
NR,M,Y70-74,C00-C14,TOT_IN,2011	2626 	41 	23 	46 	29 	602 	11 	19 	26 	221 	336 	31 	298 	1 	15 	24 	2 	90 	1 	56 	41 	164 	68 	167 	21 	37 	14 	27 	215 	13 	43 	43 	48 
NR,M,Y70-74,C00-C14,TOT_RESID,2011	2625 	41 	23 	46 	29 	603 	11 	19 	26 	221 	336 	31 	298 	1 	15 	24 	2 	90 	1 	56 	41 	163 	68 	167 	21 	37 	14 	27 	214 	13 	42 	43 	48 
NR,M,Y70-74,C00-D48,TOT_IN,2011	113189 	2245 	1503 	2251 	1300 	23369 	352 	709 	2473 	8790 	11502 	1324 	15729 	97 	587 	793 	93 	2524 	88 	3622 	1711 	8078 	2172 	4631 	545 	1096 	962 	1721 	12922 	778 	1354 	2026 	6204 
NR,M,Y70-74,C00-D48,TOT_RESID,2011	113117 	2233 	1501 	2250 	1299 	23399 	351 	713 	2469 	8774 	11491 	1320 	15706 	97 	586 	793 	95 	2520 	88 	3613 	1702 	8069 	2170 	4637 	543 	1097 	962 	1722 	12917 	778 	1339 	2027 	6188 
NR,M,Y70-74,C15,TOT_IN,2011	3289 	70 	16 	44 	43 	783 	5 	31 	15 	221 	375 	29 	225 	2 	12 	21 	3 	46 	1 	158 	48 	135 	52 	81 	9 	29 	26 	50 	759 	23 	53 	30 	51 
NR,M,Y70-74,C15,TOT_RESID,2011	3285 	69 	16 	44 	43 	785 	5 	31 	15 	219 	375 	29 	225 	2 	12 	21 	3 	46 	1 	158 	48 	134 	52 	81 	9 	29 	26 	49 	758 	23 	53 	30 	51 
NR,M,Y70-74,C16,TOT_IN,2011	5767 	72 	129 	79 	41 	973 	29 	36 	95 	467 	407 	84 	993 	5 	42 	60 	4 	146 	5 	142 	84 	532 	221 	438 	34 	78 	42 	50 	479 	29 	52 	114 	570 
NR,M,Y70-74,C16,TOT_RESID,2011	5763 	72 	128 	79 	41 	973 	29 	37 	95 	467 	406 	84 	989 	5 	42 	60 	4 	146 	5 	142 	85 	532 	221 	438 	34 	78 	42 	50 	479 	29 	51 	114 	570 
NR,M,Y70-74,C18-C21,TOT_IN,2011	13172 	217 	248 	309 	168 	2621 	46 	109 	197 	1247 	1175 	214 	1555 	9 	75 	92 	10 	474 	19 	395 	181 	997 	366 	587 	75 	200 	90 	210 	1286 	107 	160 	275 	497 
NR,M,Y70-74,C18-C21,TOT_RESID,2011	13169 	217 	248 	307 	168 	2624 	46 	107 	197 	1246 	1175 	215 	1553 	9 	74 	92 	9 	474 	19 	393 	181 	997 	366 	588 	74 	202 	90 	210 	1288 	107 	158 	275 	497 
NR,M,Y70-74,C22,TOT_IN,2011	5594 	89 	69 	71 	50 	1153 	12 	25 	146 	451 	878 	59 	1182 	5 	21 	22 	3 	70 	1 	84 	91 	137 	112 	290 	24 	36 	58 	53 	402 	16 	75 	92 	244 
NR,M,Y70-74,C22,TOT_RESID,2011	5588 	89 	69 	71 	50 	1155 	12 	26 	146 	449 	876 	59 	1183 	5 	21 	22 	3 	70 	1 	83 	90 	134 	111 	291 	24 	36 	58 	53 	401 	16 	76 	92 	244 
NR,M,Y70-74,C25,TOT_IN,2011	6774 	113 	80 	152 	97 	1664 	19 	30 	130 	464 	712 	70 	960 	6 	28 	44 	7 	138 	5 	219 	126 	305 	115 	262 	33 	54 	91 	155 	695 	54 	74 	89 	287 
NR,M,Y70-74,C25,TOT_RESID,2011	6766 	112 	80 	153 	96 	1666 	19 	31 	129 	463 	711 	70 	959 	6 	28 	44 	7 	137 	5 	217 	125 	305 	115 	262 	33 	53 	91 	155 	694 	54 	73 	89 	285 
NR,M,Y70-74,C32,TOT_IN,2011	1520 	24 	45 	35 	7 	256 	3 	6 	53 	184 	111 	27 	230 	1 	16 	16 	1 	36 	0 	20 	16 	155 	46 	109 	4 	16 	4 	3 	96 	3 	12 	57 	134 
NR,M,Y70-74,C32,TOT_RESID,2011	1520 	24 	45 	35 	7 	256 	3 	6 	53 	184 	111 	27 	230 	1 	16 	16 	1 	36 	0 	20 	16 	155 	46 	109 	4 	16 	4 	3 	96 	3 	12 	57 	133 
NR,M,Y70-74,C33_C34,TOT_IN,2011	31547 	801 	413 	667 	320 	6146 	98 	202 	887 	2510 	2968 	349 	4530 	30 	147 	233 	26 	790 	25 	1121 	407 	2621 	422 	1298 	135 	274 	241 	355 	3531 	182 	334 	579 	2439 
NR,M,Y70-74,C33_C34,TOT_RESID,2011	31534 	799 	413 	666 	320 	6152 	98 	205 	886 	2507 	2968 	346 	4525 	30 	147 	233 	28 	786 	25 	1120 	406 	2621 	422 	1300 	134 	274 	241 	355 	3527 	182 	329 	580 	2432 
NR,M,Y70-74,C43,TOT_IN,2011	1293 	25 	12 	22 	25 	318 	5 	10 	9 	60 	114 	23 	158 	1 	2 	8 	0 	23 	1 	57 	24 	84 	18 	17 	11 	15 	15 	49 	187 	27 	34 	22 	20 
NR,M,Y70-74,C43,TOT_RESID,2011	1291 	25 	12 	22 	25 	319 	5 	10 	9 	60 	113 	23 	158 	1 	2 	8 	0 	23 	1 	56 	23 	84 	18 	17 	11 	15 	15 	49 	187 	27 	34 	22 	20 
NR,M,Y70-74,C50,TOT_IN,2011	133 	4 	0 	3 	0 	31 	1 	2 	11 	13 	11 	1 	12 	0 	0 	1 	: 	0 	0 	3 	1 	10 	4 	8 	1 	1 	1 	1 	13 	1 	0 	6 	12 
NR,M,Y70-74,C50,TOT_RESID,2011	133 	4 	0 	3 	0 	31 	1 	2 	11 	13 	11 	1 	12 	0 	0 	1 	: 	0 	0 	3 	1 	10 	4 	8 	1 	1 	1 	1 	13 	1 	0 	6 	12 
NR,M,Y70-74,C61,TOT_IN,2011	9727 	167 	153 	207 	160 	2245 	28 	78 	172 	585 	905 	143 	903 	8 	71 	91 	10 	188 	5 	340 	170 	630 	225 	363 	58 	101 	109 	261 	1351 	115 	145 	222 	476 
NR,M,Y70-74,C61,TOT_RESID,2011	9724 	164 	153 	207 	160 	2252 	28 	78 	172 	582 	905 	143 	899 	8 	71 	91 	10 	189 	5 	339 	168 	628 	226 	364 	58 	101 	109 	261 	1353 	115 	142 	222 	475 
NR,M,Y70-74,C64,TOT_IN,2011	2782 	39 	27 	97 	23 	648 	15 	19 	57 	149 	284 	41 	308 	0 	25 	26 	1 	59 	2 	108 	44 	234 	27 	62 	19 	33 	31 	48 	356 	21 	40 	39 	91 
NR,M,Y70-74,C64,TOT_RESID,2011	2783 	39 	27 	97 	23 	648 	15 	19 	57 	149 	284 	41 	309 	0 	25 	26 	1 	59 	2 	108 	44 	234 	27 	62 	19 	33 	31 	48 	356 	21 	39 	39 	91 
NR,M,Y70-74,C67,TOT_IN,2011	4320 	111 	73 	76 	57 	627 	16 	16 	115 	500 	474 	41 	606 	3 	27 	34 	1 	95 	7 	120 	41 	401 	82 	233 	11 	36 	25 	64 	428 	45 	50 	80 	228 
NR,M,Y70-74,C67,TOT_RESID,2011	4320 	110 	72 	76 	57 	628 	16 	16 	115 	501 	475 	41 	605 	2 	27 	34 	1 	95 	7 	120 	41 	401 	81 	233 	11 	36 	25 	64 	430 	45 	48 	80 	228 
NR,M,Y70-74,C70-C72,TOT_IN,2011	2504 	49 	38 	38 	34 	528 	7 	22 	93 	208 	244 	31 	319 	2 	8 	18 	3 	32 	1 	77 	39 	186 	64 	99 	11 	21 	23 	41 	268 	22 	36 	55 	175 
NR,M,Y70-74,C70-C72,TOT_RESID,2011	2499 	47 	38 	38 	34 	528 	7 	22 	92 	208 	243 	30 	317 	2 	8 	18 	4 	32 	1 	78 	39 	186 	64 	99 	11 	21 	23 	41 	268 	22 	36 	55 	174 
NR,M,Y70-74,C73,TOT_IN,2011	204 	8 	3 	5 	4 	44 	1 	2 	4 	13 	22 	0 	35 	0 	0 	0 	: 	6 	0 	9 	5 	7 	4 	7 	1 	5 	1 	8 	10 	1 	5 	3 	19 
NR,M,Y70-74,C73,TOT_RESID,2011	204 	8 	3 	5 	4 	44 	1 	2 	4 	13 	22 	0 	35 	0 	0 	0 	: 	6 	0 	9 	5 	7 	4 	7 	1 	5 	1 	8 	10 	1 	5 	3 	19 
NR,M,Y70-74,C81-C85,TOT_IN,2011	2743 	47 	15 	52 	34 	646 	11 	19 	22 	187 	284 	24 	400 	2 	12 	13 	3 	37 	1 	108 	54 	130 	56 	74 	12 	15 	48 	62 	375 	22 	31 	30 	112 
NR,M,Y70-74,C81-C85,TOT_RESID,2011	2741 	48 	15 	52 	34 	647 	11 	19 	22 	186 	283 	24 	400 	2 	12 	13 	3 	37 	1 	107 	54 	130 	56 	74 	12 	15 	48 	62 	374 	22 	30 	30 	112 
NR,M,Y70-74,C88_C90_C96,TOT_IN,2011	1853 	40 	5 	27 	31 	407 	9 	10 	57 	150 	196 	15 	280 	0 	5 	11 	2 	30 	4 	61 	30 	97 	46 	23 	13 	13 	22 	33 	236 	14 	25 	25 	64 
NR,M,Y70-74,C88_C90_C96,TOT_RESID,2011	1852 	40 	5 	27 	31 	408 	9 	10 	57 	149 	196 	15 	281 	0 	5 	11 	2 	30 	4 	60 	30 	97 	46 	22 	13 	13 	22 	33 	236 	14 	24 	25 	63 
NR,M,Y70-74,C91-C95,TOT_IN,2011	3492 	72 	33 	74 	44 	811 	7 	17 	89 	236 	353 	32 	495 	3 	24 	16 	6 	67 	2 	102 	62 	221 	64 	115 	15 	33 	27 	50 	422 	18 	41 	40 	163 
NR,M,Y70-74,C91-C95,TOT_RESID,2011	3483 	71 	33 	74 	44 	811 	6 	17 	89 	235 	353 	31 	492 	3 	24 	16 	6 	67 	2 	102 	60 	221 	64 	115 	15 	33 	27 	52 	420 	18 	42 	40 	162 
NR,M,Y70-74,C_OTH,TOT_IN,2011	11501 	218 	113 	221 	123 	2384 	26 	44 	297 	718 	1347 	96 	1782 	13 	53 	53 	11 	153 	8 	392 	212 	757 	155 	354 	49 	87 	75 	158 	1602 	53 	113 	174 	469 
NR,M,Y70-74,C_OTH,TOT_RESID,2011	11492 	216 	113 	222 	123 	2387 	26 	44 	296 	717 	1343 	96 	1779 	14 	53 	53 	11 	153 	8 	393 	211 	755 	154 	354 	49 	87 	75 	158 	1602 	53 	113 	174 	467 
NR,M,Y70-74,D00-D48,TOT_IN,2011	2351 	38 	8 	26 	10 	482 	3 	12 	1 	206 	306 	14 	458 	6 	4 	10 	0 	44 	: 	50 	35 	275 	25 	44 	9 	12 	19 	43 	211 	12 	31 	51 	105 
NR,M,Y70-74,D00-D48,TOT_RESID,2011	2348 	38 	8 	26 	10 	482 	3 	12 	1 	205 	305 	14 	457 	6 	4 	10 	0 	44 	: 	49 	34 	275 	25 	46 	9 	12 	19 	43 	211 	12 	32 	51 	105 
NR,M,Y70-74,D50-D89,TOT_IN,2011	567 	8 	12 	5 	10 	155 	2 	3 	29 	47 	60 	2 	113 	0 	0 	2 	0 	8 	0 	14 	7 	10 	12 	9 	2 	3 	4 	11 	39 	2 	6 	11 	54 
NR,M,Y70-74,D50-D89,TOT_RESID,2011	567 	8 	12 	5 	10 	155 	2 	3 	29 	47 	59 	2 	113 	0 	0 	2 	0 	7 	0 	14 	9 	10 	12 	9 	2 	3 	4 	11 	39 	2 	5 	11 	54 
NR,M,Y70-74,E,TOT_IN,2011	7475 	129 	115 	158 	114 	1886 	8 	40 	108 	535 	773 	97 	1374 	30 	30 	19 	3 	196 	6 	140 	244 	372 	306 	172 	19 	62 	33 	133 	373 	39 	64 	256 	1239 
NR,M,Y70-74,E,TOT_RESID,2011	7460 	128 	115 	158 	114 	1902 	8 	40 	108 	530 	771 	94 	1357 	29 	30 	19 	3 	196 	6 	140 	241 	372 	305 	172 	18 	62 	33 	133 	376 	39 	62 	257 	1233 
NR,M,Y70-74,E10-E14,TOT_IN,2011	6342 	91 	113 	141 	105 	1591 	6 	34 	95 	428 	574 	95 	1173 	27 	28 	17 	3 	187 	5 	129 	183 	361 	276 	167 	17 	60 	23 	117 	296 	31 	52 	251 	1115 
NR,M,Y70-74,E10-E14,TOT_RESID,2011	6330 	90 	113 	141 	105 	1602 	6 	34 	95 	424 	572 	92 	1161 	27 	28 	17 	3 	187 	5 	128 	183 	361 	276 	167 	16 	60 	23 	117 	297 	31 	52 	252 	1109 
NR,M,Y70-74,E_OTH,TOT_IN,2011	1133 	38 	2 	17 	9 	295 	2 	6 	13 	107 	199 	2 	201 	3 	2 	2 	0 	9 	1 	11 	61 	11 	30 	5 	2 	2 	10 	16 	77 	8 	12 	5 	124 
NR,M,Y70-74,E_OTH,TOT_RESID,2011	1130 	38 	2 	17 	9 	300 	2 	6 	13 	106 	199 	2 	196 	2 	2 	2 	0 	9 	1 	12 	58 	11 	29 	5 	2 	2 	10 	16 	79 	8 	10 	5 	124 
