unit,sex,age,icd10,resid,time\geo	EU28 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	NO 	CH 	RS 	TR 
NR,F,TOTAL,E_OTH,TOT_IN,2011	18887 	651 	18 	257 	196 	3799 	19 	91 	186 	1700 	4799 	17 	3426 	29 	19 	13 	19 	219 	7 	538 	491 	214 	586 	84 	38 	85 	57 	230 	1099 	202 	218 	87 	1620 
NR,F,TOTAL,E_OTH,TOT_RESID,2011	18863 	647 	19 	255 	196 	3806 	19 	92 	185 	1693 	4798 	18 	3407 	30 	19 	13 	19 	218 	6 	539 	488 	213 	585 	88 	38 	86 	57 	230 	1099 	202 	213 	87 	1618 
NR,F,TOTAL,F,TOT_IN,2011	91134 	2426 	37 	526 	1728 	16120 	41 	531 	68 	10056 	11296 	577 	10671 	45 	143 	38 	61 	1640 	89 	5350 	334 	290 	41 	73 	24 	230 	1369 	3564 	23766 	1302 	2874 	589 	253 
NR,F,TOTAL,F,TOT_RESID,2011	91120 	2405 	36 	527 	1727 	16118 	41 	531 	68 	10055 	11314 	575 	10665 	45 	143 	38 	61 	1641 	89 	5347 	336 	291 	42 	74 	24 	230 	1369 	3564 	23764 	1303 	2867 	589 	253 
NR,F,TOTAL,F01_F03,TOT_IN,2011	83449 	2145 	10 	468 	1456 	14290 	17 	507 	59 	9803 	9078 	274 	9998 	42 	94 	25 	55 	1449 	79 	5156 	185 	50 	: 	: 	: 	215 	1260 	3415 	23319 	1204 	2554 	367 	94 
NR,F,TOTAL,F01_F03,TOT_RESID,2011	83439 	2127 	9 	468 	1456 	14288 	17 	507 	59 	9802 	9093 	274 	9995 	42 	94 	25 	55 	1450 	79 	5153 	186 	50 	1 	1 	: 	215 	1260 	3415 	23318 	1204 	2548 	367 	94 
NR,F,TOTAL,F10,TOT_IN,2011	2994 	82 	1 	21 	165 	1131 	23 	1 	4 	46 	605 	28 	40 	: 	42 	4 	1 	54 	1 	49 	85 	224 	17 	26 	23 	9 	38 	47 	227 	28 	47 	12 	1 
NR,F,TOTAL,F10,TOT_RESID,2011	2994 	82 	1 	22 	165 	1130 	23 	1 	4 	46 	605 	28 	40 	: 	42 	4 	1 	54 	1 	49 	85 	225 	17 	26 	23 	9 	38 	47 	226 	28 	47 	12 	1 
NR,F,TOTAL,F_OTH,TOT_IN,2011	4352 	192 	20 	36 	98 	556 	1 	23 	2 	199 	1585 	275 	603 	3 	7 	9 	5 	136 	9 	138 	8 	16 	23 	47 	1 	6 	67 	98 	189 	65 	261 	205 	155 
NR,F,TOTAL,F_OTH,TOT_RESID,2011	4348 	189 	20 	36 	97 	557 	1 	23 	2 	199 	1588 	273 	600 	3 	7 	9 	5 	136 	9 	138 	9 	16 	23 	47 	1 	6 	67 	98 	189 	66 	260 	205 	155 
NR,F,TOTAL,G20,TOT_IN,2011	15086 	414 	141 	76 	143 	3368 	30 	110 	251 	1584 	2283 	168 	2126 	8 	28 	56 	16 	115 	18 	565 	394 	435 	261 	171 	50 	47 	258 	237 	1733 	114 	307 	218 	473 
NR,F,TOTAL,G20,TOT_RESID,2011	15080 	413 	141 	76 	143 	3371 	30 	110 	251 	1582 	2285 	167 	2121 	8 	28 	56 	16 	115 	18 	565 	393 	435 	261 	171 	50 	47 	258 	237 	1732 	115 	302 	219 	472 
NR,F,TOTAL,G30,TOT_IN,2011	52776 	1592 	104 	679 	580 	3719 	44 	313 	204 	8379 	13605 	120 	6781 	53 	19 	102 	43 	203 	9 	1458 	696 	1462 	1043 	845 	71 	301 	3042 	1298 	6011 	553 	1027 	230 	3683 
NR,F,TOTAL,G30,TOT_RESID,2011	52756 	1561 	105 	676 	580 	3721 	44 	314 	203 	8379 	13626 	118 	6770 	53 	19 	102 	43 	202 	9 	1458 	697 	1461 	1044 	846 	70 	303 	3042 	1298 	6012 	553 	1023 	231 	3681 
NR,F,TOTAL,G_H,TOT_IN,2011	96445 	2786 	459 	1149 	1061 	11976 	127 	605 	1186 	12418 	20488 	438 	13531 	85 	119 	284 	84 	875 	47 	2865 	1459 	2956 	1759 	1394 	192 	550 	3683 	2123 	11746 	965 	1917 	773 	6098 
NR,F,TOTAL,G_H,TOT_RESID,2011	96412 	2749 	460 	1146 	1060 	11996 	127 	608 	1182 	12410 	20516 	434 	13502 	85 	120 	284 	83 	873 	47 	2864 	1459 	2955 	1761 	1396 	190 	554 	3683 	2123 	11745 	966 	1871 	776 	6095 
NR,F,TOTAL,G_H_OTH,TOT_IN,2011	28640 	780 	214 	394 	338 	4889 	53 	182 	788 	2455 	4600 	150 	4624 	24 	72 	126 	25 	557 	20 	842 	369 	1059 	455 	378 	71 	202 	383 	588 	4002 	298 	583 	325 	1942 
NR,F,TOTAL,G_H_OTH,TOT_RESID,2011	28633 	775 	214 	394 	337 	4904 	53 	184 	784 	2449 	4605 	149 	4611 	25 	73 	126 	24 	556 	20 	841 	369 	1059 	456 	379 	70 	204 	383 	588 	4001 	298 	546 	326 	1942 
NR,F,TOTAL,I,TOT_IN,2011	1015669 	17154 	37079 	28660 	6919 	196726 	4769 	4622 	24998 	64491 	75370 	14410 	125940 	1077 	8760 	13069 	700 	35695 	739 	20335 	18900 	90635 	17792 	80694 	4309 	12981 	10374 	18300 	80171 	6956 	11600 	30060 	61001 
NR,F,TOTAL,I,TOT_RESID,2011	1014960 	17016 	37072 	28628 	6923 	196981 	4764 	4609 	24937 	64299 	75394 	14328 	125592 	1057 	8748 	13070 	702 	35636 	732 	20310 	18840 	90582 	17780 	80788 	4305 	12988 	10377 	18308 	80194 	6976 	11529 	30087 	60903 
NR,F,TOTAL,I20-I25,TOT_IN,2011	313239 	3794 	5720 	13919 	2068 	62310 	2191 	2062 	4275 	14912 	14746 	5995 	37039 	267 	4476 	8193 	159 	17998 	363 	4173 	7527 	21718 	3233 	25070 	955 	7464 	5221 	6640 	30751 	2332 	3596 	4774 	16903 
NR,F,TOTAL,I20-I25,TOT_RESID,2011	312986 	3765 	5724 	13908 	2068 	62415 	2190 	2053 	4251 	14820 	14766 	5937 	36922 	252 	4466 	8194 	158 	17965 	359 	4173 	7506 	21710 	3224 	25111 	958 	7462 	5220 	6644 	30765 	2341 	3580 	4789 	16872 
NR,F,TOTAL,I20_I23-I25,TOT_IN,2011	203686 	1579 	3784 	11019 	1182 	37742 	1922 	1084 	1612 	7431 	7817 	4451 	24347 	153 	3944 	7574 	57 	14926 	168 	1352 	5306 	15460 	1195 	16965 	569 	6741 	3256 	3553 	18497 	761 	2590 	2617 	6513 
NR,F,TOTAL,I20_I23-I25,TOT_RESID,2011	203575 	1570 	3786 	11015 	1179 	37788 	1920 	1080 	1606 	7393 	7822 	4422 	24292 	152 	3935 	7573 	59 	14903 	167 	1354 	5301 	15457 	1194 	16984 	571 	6733 	3256 	3555 	18508 	762 	2579 	2622 	6506 
NR,F,TOTAL,I21_I22,TOT_IN,2011	109553 	2215 	1936 	2900 	886 	24568 	269 	978 	2663 	7481 	6929 	1544 	12692 	114 	532 	619 	102 	3072 	195 	2821 	2221 	6258 	2038 	8105 	386 	723 	1965 	3087 	12254 	1571 	1006 	2157 	10390 
NR,F,TOTAL,I21_I22,TOT_RESID,2011	109411 	2195 	1938 	2893 	889 	24627 	270 	973 	2645 	7427 	6944 	1515 	12630 	100 	531 	621 	99 	3062 	192 	2819 	2205 	6253 	2030 	8127 	387 	729 	1964 	3089 	12257 	1579 	1001 	2167 	10366 
NR,F,TOTAL,I30-I51,TOT_IN,2011	242605 	7056 	13597 	3420 	1645 	56022 	327 	816 	10359 	21156 	28319 	1900 	26100 	398 	631 	556 	275 	3242 	138 	8428 	4403 	25660 	4109 	3913 	1408 	809 	1148 	4739 	12031 	2003 	3020 	12689 	16409 
NR,F,TOTAL,I30-I51,TOT_RESID,2011	242456 	7014 	13585 	3416 	1646 	56088 	327 	815 	10346 	21121 	28330 	1895 	26020 	395 	632 	555 	275 	3234 	137 	8413 	4392 	25633 	4108 	3932 	1402 	810 	1150 	4743 	12042 	2008 	3006 	12691 	16377 
NR,F,TOTAL,I60-I69,TOT_IN,2011	260070 	4208 	10978 	6511 	2006 	36043 	741 	1165 	8707 	16703 	18814 	4430 	36609 	229 	2758 	3597 	174 	7565 	186 	5165 	3041 	20356 	7625 	26295 	1123 	2989 	2547 	4347 	25158 	1871 	2251 	8082 	18038 
NR,F,TOTAL,I60-I69,TOT_RESID,2011	259876 	4171 	10976 	6501 	2006 	36091 	739 	1162 	8690 	16673 	18805 	4417 	36505 	228 	2754 	3599 	174 	7555 	184 	5158 	3027 	20347 	7624 	26315 	1121 	2996 	2546 	4347 	25165 	1875 	2223 	8090 	18014 
NR,F,TOTAL,I_OTH,TOT_IN,2011	199755 	2096 	6784 	4810 	1200 	42351 	1510 	579 	1657 	11720 	13491 	2085 	26192 	183 	895 	723 	92 	6890 	52 	2569 	3929 	22901 	2825 	25416 	823 	1719 	1458 	2574 	12231 	750 	2733 	4515 	9651 
NR,F,TOTAL,I_OTH,TOT_RESID,2011	199642 	2066 	6787 	4803 	1203 	42387 	1508 	579 	1650 	11685 	13493 	2079 	26145 	182 	896 	722 	95 	6882 	52 	2566 	3915 	22892 	2824 	25430 	824 	1720 	1461 	2574 	12222 	752 	2720 	4517 	9640 
NR,F,TOTAL,J,TOT_IN,2011	176374 	4798 	1521 	2444 	3112 	27997 	143 	1813 	5019 	17725 	16379 	798 	18070 	159 	231 	335 	165 	2912 	106 	6598 	1908 	8120 	5670 	4537 	593 	1306 	768 	2899 	40248 	2065 	1782 	1991 	12154 
NR,F,TOTAL,J,TOT_RESID,2011	176277 	4755 	1522 	2438 	3112 	28022 	142 	1809 	5008 	17696 	16409 	796 	18030 	159 	230 	336 	167 	2903 	105 	6598 	1901 	8112 	5670 	4544 	591 	1309 	769 	2901 	40243 	2066 	1775 	1993 	12144 
NR,F,TOTAL,J09-J11,TOT_IN,2011	1210 	26 	6 	40 	11 	89 	6 	2 	48 	108 	170 	15 	263 	2 	12 	10 	3 	30 	: 	43 	12 	46 	36 	6 	1 	11 	15 	24 	175 	17 	17 	9 	43 
NR,F,TOTAL,J09-J11,TOT_RESID,2011	1205 	25 	6 	38 	11 	89 	6 	2 	48 	108 	170 	15 	263 	2 	12 	10 	3 	30 	: 	44 	12 	46 	36 	6 	1 	11 	15 	24 	172 	17 	16 	9 	43 
NR,F,TOTAL,J12-J18,TOT_IN,2011	61904 	1769 	519 	1097 	1041 	9983 	53 	643 	441 	4001 	5617 	136 	4359 	43 	123 	135 	48 	387 	43 	2703 	612 	4654 	2702 	2089 	320 	807 	176 	995 	16408 	857 	670 	371 	1997 
NR,F,TOTAL,J12-J18,TOT_RESID,2011	61880 	1755 	521 	1097 	1041 	9989 	52 	643 	440 	3994 	5625 	135 	4357 	42 	123 	135 	48 	387 	43 	2701 	611 	4646 	2702 	2090 	319 	806 	176 	996 	16406 	857 	665 	371 	1996 
NR,F,TOTAL,J40-J44_J47,TOT_IN,2011	61327 	1619 	342 	964 	1785 	12060 	51 	714 	903 	3331 	3063 	565 	7939 	20 	61 	152 	67 	2087 	14 	2912 	1041 	2197 	891 	1741 	157 	326 	366 	1447 	14512 	946 	735 	870 	6839 
